Date,Close,High,Low,Open,Volume,Rendement Quotidien,Volatilité Quotidienne,Volatilité Annuelle,Sharpe Ratio,Sortino Ratio,Ulcer Index
2019-01-02,1281.0,1286.0,1277.6,1286.0,149,,0.01,0.159,0.843,1.206,8.258
2019-01-03,1291.8,1292.0,1286.7,1286.8,10,0.008,0.01,0.159,0.843,1.206,8.258
2019-01-04,1282.7,1294.2,1275.3,1294.2,34,-0.007,0.01,0.159,0.843,1.206,8.258
2019-01-07,1286.8,1286.8,1286.6,1286.8,2,0.003,0.01,0.159,0.843,1.206,8.258
2019-01-08,1283.2,1283.2,1278.2,1280.5,54,-0.003,0.01,0.159,0.843,1.206,8.258
2019-01-09,1289.3,1289.3,1279.2,1279.4,102,0.005,0.01,0.159,0.843,1.206,8.258
2019-01-10,1284.7,1284.7,1284.7,1284.7,0,-0.004,0.01,0.159,0.843,1.206,8.258
2019-01-11,1287.1,1291.2,1286.3,1291.2,11,0.002,0.01,0.159,0.843,1.206,8.258
2019-01-14,1289.1,1293.9,1289.1,1292.4,7,0.002,0.01,0.159,0.843,1.206,8.258
2019-01-15,1286.2,1292.7,1286.2,1290.1,3,-0.002,0.01,0.159,0.843,1.206,8.258
2019-01-16,1291.6,1291.6,1291.6,1291.6,2,0.004,0.01,0.159,0.843,1.206,8.258
2019-01-17,1291.0,1292.7,1288.5,1291.6,10,-0.0,0.01,0.159,0.843,1.206,8.258
2019-01-18,1281.3,1281.3,1281.3,1281.3,3,-0.008,0.01,0.159,0.843,1.206,8.258
2019-01-22,1282.5,1283.3,1282.5,1282.5,7,0.001,0.01,0.159,0.843,1.206,8.258
2019-01-23,1283.1,1283.9,1278.7,1281.7,14,0.0,0.01,0.159,0.843,1.206,8.258
2019-01-24,1279.1,1279.1,1278.5,1279.1,1,-0.003,0.01,0.159,0.843,1.206,8.258
2019-01-25,1297.4,1297.4,1297.4,1297.4,0,0.014,0.01,0.159,0.843,1.206,8.258
2019-01-28,1302.4,1307.1,1298.4,1300.8,54,0.004,0.01,0.159,0.843,1.206,8.258
2019-01-29,1308.2,1308.2,1308.2,1308.2,213607,0.004,0.01,0.159,0.843,1.206,8.258
2019-01-30,1309.9,1323.4,1308.1,1310.4,54958,0.001,0.01,0.159,0.843,1.206,8.258
2019-01-31,1319.7,1325.4,1316.7,1320.0,1970,0.007,0.01,0.159,0.843,1.206,8.258
2019-02-01,1316.9,1320.7,1315.4,1320.3,878,-0.002,0.01,0.159,0.843,1.206,8.258
2019-02-04,1314.3,1318.1,1308.3,1318.1,675,-0.002,0.01,0.159,0.843,1.206,8.258
2019-02-05,1314.2,1315.1,1311.0,1311.1,362,-0.0,0.01,0.159,0.843,1.206,8.258
2019-02-06,1309.5,1313.5,1305.0,1312.5,358,-0.004,0.01,0.159,0.843,1.206,8.258
2019-02-07,1309.4,1310.4,1302.2,1302.9,203,-0.0,0.01,0.159,0.843,1.206,8.258
2019-02-08,1313.7,1314.0,1307.8,1309.5,122,0.003,0.01,0.159,0.843,1.206,8.258
2019-02-11,1307.0,1313.4,1304.7,1313.4,119,-0.005,0.01,0.159,0.843,1.206,8.258
2019-02-12,1309.2,1312.0,1307.6,1310.0,109,0.002,0.01,0.159,0.843,1.206,8.258
2019-02-13,1310.8,1316.0,1308.1,1311.6,143,0.001,0.01,0.159,0.843,1.206,8.258
2019-02-14,1309.8,1311.8,1301.6,1305.0,858,-0.001,0.01,0.159,0.843,1.206,8.258
2019-02-15,1318.1,1318.8,1313.6,1313.6,190,0.006,0.01,0.159,0.843,1.206,8.258
2019-02-19,1340.1,1340.1,1320.5,1320.9,390,0.017,0.01,0.159,0.843,1.206,8.258
2019-02-20,1343.3,1344.0,1338.0,1342.2,581,0.002,0.01,0.159,0.843,1.206,8.258
2019-02-21,1323.5,1334.9,1320.9,1331.3,414,-0.015,0.01,0.159,0.843,1.206,8.258
2019-02-22,1329.2,1331.3,1321.0,1324.2,718,0.004,0.01,0.159,0.843,1.206,8.258
2019-02-25,1325.9,1331.6,1325.6,1329.2,185,-0.002,0.01,0.159,0.843,1.206,8.258
2019-02-26,1325.1,1325.5,1323.3,1323.3,939,-0.001,0.01,0.159,0.843,1.206,8.258
2019-02-27,1317.7,1327.9,1316.5,1327.7,604,-0.006,0.01,0.159,0.843,1.206,8.258
2019-02-28,1312.8,1323.7,1311.5,1321.1,141,-0.004,0.01,0.159,0.843,1.206,8.258
2019-03-01,1296.4,1312.2,1288.9,1312.2,110,-0.012,0.01,0.159,0.843,1.206,8.258
2019-03-04,1284.8,1287.0,1281.9,1285.5,28,-0.009,0.01,0.159,0.843,1.206,8.258
2019-03-05,1282.0,1287.0,1282.0,1287.0,114,-0.002,0.01,0.159,0.843,1.206,8.258
2019-03-06,1284.9,1287.1,1282.6,1287.1,14,0.002,0.01,0.159,0.843,1.206,8.258
2019-03-07,1283.8,1284.6,1281.0,1281.0,11,-0.001,0.01,0.159,0.843,1.206,8.258
2019-03-08,1297.0,1297.4,1291.6,1292.1,10,0.01,0.01,0.159,0.843,1.206,8.258
2019-03-11,1288.8,1291.0,1288.8,1291.0,9,-0.006,0.01,0.159,0.843,1.206,8.258
2019-03-12,1296.3,1296.3,1294.7,1294.7,1,0.006,0.01,0.159,0.843,1.206,8.258
2019-03-13,1307.5,1307.5,1307.5,1307.5,0,0.009,0.01,0.159,0.843,1.206,8.258
2019-03-14,1293.4,1293.4,1293.4,1293.4,1,-0.011,0.01,0.159,0.843,1.206,8.258
2019-03-15,1301.8,1304.7,1300.5,1300.9,26,0.006,0.01,0.159,0.843,1.206,8.258
2019-03-18,1300.3,1302.2,1297.3,1297.3,8,-0.001,0.01,0.159,0.843,1.206,8.258
2019-03-19,1305.0,1306.9,1304.8,1306.9,20,0.004,0.01,0.159,0.843,1.206,8.258
2019-03-20,1300.5,1300.7,1300.5,1300.7,2,-0.003,0.01,0.159,0.843,1.206,8.258
2019-03-21,1306.1,1306.1,1306.1,1306.1,0,0.004,0.01,0.159,0.843,1.206,8.258
2019-03-22,1311.6,1311.6,1311.6,1311.6,0,0.004,0.01,0.159,0.843,1.206,8.258
2019-03-25,1321.9,1322.9,1320.7,1320.7,19,0.008,0.01,0.159,0.843,1.206,8.258
2019-03-26,1314.3,1315.6,1314.3,1315.6,1,-0.006,0.01,0.159,0.843,1.206,8.258
2019-03-27,1309.9,1309.9,1309.9,1309.9,206263,-0.003,0.01,0.159,0.843,1.206,8.258
2019-03-28,1289.8,1311.1,1287.7,1308.4,87798,-0.015,0.01,0.159,0.843,1.206,8.258
2019-03-29,1293.0,1298.5,1286.1,1289.6,1265,0.002,0.01,0.159,0.843,1.206,8.258
2019-04-01,1288.4,1295.9,1285.7,1291.8,675,-0.004,0.01,0.159,0.843,1.206,8.258
2019-04-02,1290.0,1290.9,1284.5,1286.3,525,0.001,0.01,0.159,0.843,1.206,8.258
2019-04-03,1289.9,1293.1,1287.5,1291.4,172,-0.0,0.01,0.159,0.843,1.206,8.258
2019-04-04,1289.0,1292.6,1279.5,1290.6,269,-0.001,0.01,0.159,0.843,1.206,8.258
2019-04-05,1290.4,1292.0,1283.6,1292.0,181,0.001,0.01,0.159,0.843,1.206,8.258
2019-04-08,1297.1,1302.1,1291.8,1292.2,63,0.005,0.01,0.159,0.843,1.206,8.258
2019-04-09,1303.5,1304.9,1298.5,1298.5,30,0.005,0.01,0.159,0.843,1.206,8.258
2019-04-10,1309.1,1309.1,1301.5,1304.0,66,0.004,0.01,0.159,0.843,1.206,8.258
2019-04-11,1288.6,1307.1,1288.6,1307.0,420,-0.016,0.01,0.159,0.843,1.206,8.258
2019-04-12,1290.6,1293.4,1289.2,1293.4,607,0.002,0.01,0.159,0.843,1.206,8.258
2019-04-15,1286.8,1287.3,1282.3,1284.8,523,-0.003,0.01,0.159,0.843,1.206,8.258
2019-04-16,1272.6,1285.2,1272.2,1285.2,643,-0.011,0.01,0.159,0.843,1.206,8.258
2019-04-17,1272.2,1273.5,1271.6,1273.5,308,-0.0,0.01,0.159,0.843,1.206,8.258
2019-04-18,1271.9,1273.6,1270.1,1270.8,27,-0.0,0.01,0.159,0.843,1.206,8.258
2019-04-22,1273.5,1273.5,1273.5,1273.5,147,0.001,0.01,0.159,0.843,1.206,8.258
2019-04-23,1269.3,1269.8,1266.0,1266.4,206,-0.003,0.01,0.159,0.843,1.206,8.258
2019-04-24,1275.5,1275.5,1267.8,1268.4,518,0.005,0.01,0.159,0.843,1.206,8.258
2019-04-25,1275.8,1280.8,1275.8,1280.6,95,0.0,0.01,0.159,0.843,1.206,8.258
2019-04-26,1284.9,1284.9,1284.9,1284.9,804,0.007,0.01,0.159,0.843,1.206,8.258
2019-04-29,1278.6,1284.9,1277.1,1284.8,568,-0.005,0.01,0.159,0.843,1.206,8.258
2019-04-30,1282.8,1283.3,1280.8,1281.7,114,0.003,0.01,0.159,0.843,1.206,8.258
2019-05-01,1281.4,1283.3,1278.7,1278.7,70,-0.001,0.01,0.159,0.843,1.206,8.258
2019-05-02,1269.7,1270.8,1266.6,1269.2,63,-0.009,0.01,0.159,0.843,1.206,8.258
2019-05-03,1279.2,1279.2,1270.1,1270.1,15,0.007,0.01,0.159,0.843,1.206,8.258
2019-05-06,1281.7,1282.2,1280.3,1282.2,12,0.002,0.01,0.159,0.843,1.206,8.258
2019-05-07,1283.5,1283.5,1280.5,1280.5,8,0.001,0.01,0.159,0.843,1.206,8.258
2019-05-08,1279.4,1279.4,1279.4,1279.4,5,-0.003,0.01,0.159,0.843,1.206,8.258
2019-05-09,1283.5,1285.0,1278.8,1278.9,38,0.003,0.01,0.159,0.843,1.206,8.258
2019-05-10,1285.7,1286.5,1283.3,1285.4,6,0.002,0.01,0.159,0.843,1.206,8.258
2019-05-13,1300.1,1300.1,1281.8,1286.7,56,0.011,0.01,0.159,0.843,1.206,8.258
2019-05-14,1294.7,1297.8,1294.7,1297.8,6,-0.004,0.01,0.159,0.843,1.206,8.258
2019-05-15,1296.3,1296.9,1296.0,1296.9,55,0.001,0.01,0.159,0.843,1.206,8.258
2019-05-16,1285.0,1285.4,1285.0,1285.2,3,-0.009,0.01,0.159,0.843,1.206,8.258
2019-05-17,1274.5,1280.0,1274.5,1280.0,1,-0.008,0.01,0.159,0.843,1.206,8.258
2019-05-20,1276.1,1276.1,1276.1,1276.1,20,0.001,0.01,0.159,0.843,1.206,8.258
2019-05-21,1272.0,1272.0,1272.0,1272.0,0,-0.003,0.01,0.159,0.843,1.206,8.258
2019-05-22,1273.6,1273.6,1273.6,1273.6,0,0.001,0.01,0.159,0.843,1.206,8.258
2019-05-23,1284.8,1284.8,1284.8,1284.8,0,0.009,0.01,0.159,0.843,1.206,8.258
2019-05-24,1283.0,1283.0,1283.0,1283.0,9,-0.001,0.01,0.159,0.843,1.206,8.258
2019-05-28,1276.5,1276.5,1276.5,1276.5,0,-0.005,0.01,0.159,0.843,1.206,8.258
2019-05-29,1280.6,1280.6,1280.6,1280.6,189694,0.003,0.01,0.159,0.843,1.206,8.258
2019-05-30,1287.1,1288.3,1273.9,1279.4,55573,0.005,0.01,0.159,0.843,1.206,8.258
2019-05-31,1305.8,1306.4,1287.5,1287.7,2814,0.015,0.01,0.159,0.843,1.206,8.258
2019-06-03,1322.7,1327.8,1307.0,1307.0,812,0.013,0.01,0.159,0.843,1.206,8.258
2019-06-04,1323.4,1328.6,1320.8,1324.3,302,0.001,0.01,0.159,0.843,1.206,8.258
2019-06-05,1328.3,1343.3,1326.3,1328.9,622,0.004,0.01,0.159,0.843,1.206,8.258
2019-06-06,1337.6,1338.7,1326.2,1330.8,161,0.007,0.01,0.159,0.843,1.206,8.258
2019-06-07,1341.2,1347.7,1329.8,1333.1,240,0.003,0.01,0.159,0.843,1.206,8.258
2019-06-10,1324.7,1336.5,1324.1,1335.8,268,-0.012,0.01,0.159,0.843,1.206,8.258
2019-06-11,1326.4,1328.4,1319.1,1328.4,201,0.001,0.01,0.159,0.843,1.206,8.258
2019-06-12,1331.9,1334.5,1326.9,1326.9,139,0.004,0.01,0.159,0.843,1.206,8.258
2019-06-13,1339.2,1341.1,1331.6,1331.6,157,0.005,0.01,0.159,0.843,1.206,8.258
2019-06-14,1340.1,1355.4,1339.3,1345.4,914,0.001,0.01,0.159,0.843,1.206,8.258
2019-06-17,1338.7,1340.3,1335.0,1339.0,76,-0.001,0.01,0.159,0.843,1.206,8.258
2019-06-18,1346.6,1349.3,1341.6,1349.3,29,0.006,0.01,0.159,0.843,1.206,8.258
2019-06-19,1344.6,1344.6,1344.0,1344.0,129,-0.001,0.01,0.159,0.843,1.206,8.258
2019-06-20,1392.9,1392.9,1379.5,1381.5,76,0.036,0.01,0.159,0.843,1.206,8.258
2019-06-21,1396.2,1406.0,1390.3,1406.0,35,0.002,0.01,0.159,0.843,1.206,8.258
2019-06-24,1414.3,1420.6,1402.1,1406.0,125,0.013,0.01,0.159,0.843,1.206,8.258
2019-06-25,1414.9,1433.3,1414.9,1418.1,105,0.0,0.01,0.159,0.843,1.206,8.258
2019-06-26,1411.6,1413.3,1405.8,1407.2,1333,-0.002,0.01,0.159,0.843,1.206,8.258
2019-06-27,1408.4,1410.8,1399.8,1407.0,437,-0.002,0.01,0.159,0.843,1.206,8.258
2019-06-28,1409.7,1422.0,1408.3,1408.3,356,0.001,0.01,0.159,0.843,1.206,8.258
2019-07-01,1385.6,1395.8,1382.8,1386.6,214,-0.017,0.01,0.159,0.843,1.206,8.258
2019-07-02,1404.6,1418.4,1390.8,1391.1,38,0.014,0.01,0.159,0.843,1.206,8.258
2019-07-03,1417.7,1434.0,1413.1,1431.0,46,0.009,0.01,0.159,0.843,1.206,8.258
2019-07-05,1396.7,1418.3,1390.2,1418.3,20,-0.015,0.01,0.159,0.843,1.206,8.258
2019-07-08,1397.0,1397.0,1393.6,1395.9,14,0.0,0.01,0.159,0.843,1.206,8.258
2019-07-09,1397.5,1397.5,1386.2,1394.5,53,0.0,0.01,0.159,0.843,1.206,8.258
2019-07-10,1410.1,1410.1,1409.9,1409.9,50,0.009,0.01,0.159,0.843,1.206,8.258
2019-07-11,1404.3,1424.0,1404.3,1424.0,6,-0.004,0.01,0.159,0.843,1.206,8.258
2019-07-12,1409.9,1410.1,1405.6,1405.6,8,0.004,0.01,0.159,0.843,1.206,8.258
2019-07-15,1411.4,1415.0,1411.4,1414.4,25,0.001,0.01,0.159,0.843,1.206,8.258
2019-07-16,1409.2,1413.7,1405.0,1413.6,13,-0.002,0.01,0.159,0.843,1.206,8.258
2019-07-17,1421.3,1421.3,1404.6,1404.6,6,0.009,0.01,0.159,0.843,1.206,8.258
2019-07-18,1426.1,1444.2,1419.5,1422.3,66,0.003,0.01,0.159,0.843,1.206,8.258
2019-07-19,1425.1,1442.0,1425.1,1440.5,22,-0.001,0.01,0.159,0.843,1.206,8.258
2019-07-22,1425.3,1425.3,1424.0,1425.3,1,0.0,0.01,0.159,0.843,1.206,8.258
2019-07-23,1420.1,1421.3,1416.3,1418.6,5,-0.004,0.01,0.159,0.843,1.206,8.258
2019-07-24,1422.8,1422.8,1422.8,1422.8,20,0.002,0.01,0.159,0.843,1.206,8.258
2019-07-25,1413.9,1413.9,1413.9,1413.9,4,-0.006,0.01,0.159,0.843,1.206,8.258
2019-07-26,1418.5,1423.0,1418.5,1422.8,5,0.003,0.01,0.159,0.843,1.206,8.258
2019-07-29,1419.6,1419.6,1419.6,1419.6,224267,0.001,0.01,0.159,0.843,1.206,8.258
2019-07-30,1429.7,1433.9,1422.1,1426.3,73874,0.007,0.01,0.159,0.843,1.206,8.258
2019-07-31,1426.1,1435.8,1411.2,1431.3,3294,-0.003,0.01,0.159,0.843,1.206,8.258
2019-08-01,1420.9,1445.2,1400.9,1411.3,2431,-0.004,0.01,0.159,0.843,1.206,8.258
2019-08-02,1445.6,1448.0,1432.3,1448.0,1873,0.017,0.01,0.159,0.843,1.206,8.258
2019-08-05,1464.6,1469.7,1440.4,1440.4,1008,0.013,0.01,0.159,0.843,1.206,8.258
2019-08-06,1472.4,1475.0,1457.7,1469.7,460,0.005,0.01,0.159,0.843,1.206,8.258
2019-08-07,1507.3,1509.9,1473.2,1473.5,824,0.024,0.01,0.159,0.843,1.206,8.258
2019-08-08,1497.7,1508.5,1492.0,1498.4,367,-0.006,0.01,0.159,0.843,1.206,8.258
2019-08-09,1496.6,1507.5,1495.6,1506.2,74,-0.001,0.01,0.159,0.843,1.206,8.258
2019-08-12,1505.3,1514.9,1488.1,1496.0,257,0.006,0.01,0.159,0.843,1.206,8.258
2019-08-13,1502.2,1531.4,1483.7,1510.4,672,-0.002,0.01,0.159,0.843,1.206,8.258
