Date,Close,High,Low,Open,Volume,Rendement Quotidien,Volatilité Quotidienne,Volatilité Annuelle,Sharpe Ratio,Sortino Ratio,Ulcer Index
2019-01-02,2510.03,2519.49,2467.47,2476.96,3733160000,,0.013,0.206,0.752,0.976,9.085
2019-01-03,2447.89,2493.14,2443.96,2491.92,3858830000,-0.025,0.013,0.206,0.752,0.976,9.085
2019-01-04,2531.94,2538.07,2474.33,2474.33,4234140000,0.034,0.013,0.206,0.752,0.976,9.085
2019-01-07,2549.69,2566.16,2524.56,2535.61,4133120000,0.007,0.013,0.206,0.752,0.976,9.085
2019-01-08,2574.41,2579.82,2547.56,2568.11,4120060000,0.01,0.013,0.206,0.752,0.976,9.085
2019-01-09,2584.96,2595.32,2568.89,2580.0,4088740000,0.004,0.013,0.206,0.752,0.976,9.085
2019-01-10,2596.64,2597.82,2562.02,2573.51,3721300000,0.005,0.013,0.206,0.752,0.976,9.085
2019-01-11,2596.26,2596.27,2577.4,2588.11,3447460000,-0.0,0.013,0.206,0.752,0.976,9.085
2019-01-14,2582.61,2589.32,2570.41,2580.31,3689370000,-0.005,0.013,0.206,0.752,0.976,9.085
2019-01-15,2610.3,2613.08,2585.1,2585.1,3601180000,0.011,0.013,0.206,0.752,0.976,9.085
2019-01-16,2616.1,2625.76,2612.68,2614.75,3882180000,0.002,0.013,0.206,0.752,0.976,9.085
2019-01-17,2635.96,2645.06,2606.36,2609.28,3802410000,0.008,0.013,0.206,0.752,0.976,9.085
2019-01-18,2670.71,2675.47,2647.58,2651.27,4009010000,0.013,0.013,0.206,0.752,0.976,9.085
2019-01-22,2632.9,2657.88,2617.27,2657.88,3923950000,-0.014,0.013,0.206,0.752,0.976,9.085
2019-01-23,2638.7,2653.19,2612.86,2643.48,3358770000,0.002,0.013,0.206,0.752,0.976,9.085
2019-01-24,2642.33,2647.2,2627.01,2638.84,3449230000,0.001,0.013,0.206,0.752,0.976,9.085
2019-01-25,2664.76,2672.38,2657.33,2657.44,3821000000,0.008,0.013,0.206,0.752,0.976,9.085
2019-01-28,2643.85,2644.97,2624.06,2644.97,3630820000,-0.008,0.013,0.206,0.752,0.976,9.085
2019-01-29,2640.0,2650.93,2631.05,2644.89,3518070000,-0.001,0.013,0.206,0.752,0.976,9.085
2019-01-30,2681.05,2690.44,2648.34,2653.62,3883270000,0.016,0.013,0.206,0.752,0.976,9.085
2019-01-31,2704.1,2708.95,2678.65,2685.49,4953800000,0.009,0.013,0.206,0.752,0.976,9.085
2019-02-01,2706.53,2716.66,2696.88,2702.32,3782490000,0.001,0.013,0.206,0.752,0.976,9.085
2019-02-04,2724.87,2724.99,2698.75,2706.49,3369450000,0.007,0.013,0.206,0.752,0.976,9.085
2019-02-05,2737.7,2738.98,2724.03,2728.34,3597620000,0.005,0.013,0.206,0.752,0.976,9.085
2019-02-06,2731.61,2738.08,2724.15,2735.05,3486590000,-0.002,0.013,0.206,0.752,0.976,9.085
2019-02-07,2706.05,2719.32,2687.26,2717.53,4114040000,-0.009,0.013,0.206,0.752,0.976,9.085
2019-02-08,2707.88,2708.07,2681.83,2692.36,3649510000,0.001,0.013,0.206,0.752,0.976,9.085
2019-02-11,2709.8,2718.05,2703.79,2712.4,3395330000,0.001,0.013,0.206,0.752,0.976,9.085
2019-02-12,2744.73,2748.19,2722.61,2722.61,3843020000,0.013,0.013,0.206,0.752,0.976,9.085
2019-02-13,2753.03,2761.85,2748.63,2750.3,3684910000,0.003,0.013,0.206,0.752,0.976,9.085
2019-02-14,2745.73,2757.9,2731.23,2743.5,3845390000,-0.003,0.013,0.206,0.752,0.976,9.085
2019-02-15,2775.6,2775.66,2760.24,2760.24,3648680000,0.011,0.013,0.206,0.752,0.976,9.085
2019-02-19,2779.76,2787.33,2767.29,2769.28,3535270000,0.001,0.013,0.206,0.752,0.976,9.085
2019-02-20,2784.7,2789.88,2774.06,2779.05,3904830000,0.002,0.013,0.206,0.752,0.976,9.085
2019-02-21,2774.88,2781.58,2764.55,2780.24,3598260000,-0.004,0.013,0.206,0.752,0.976,9.085
2019-02-22,2792.67,2794.2,2779.11,2780.67,3429350000,0.006,0.013,0.206,0.752,0.976,9.085
2019-02-25,2796.11,2813.49,2794.99,2804.35,3860260000,0.001,0.013,0.206,0.752,0.976,9.085
2019-02-26,2793.9,2803.12,2789.47,2792.36,3676200000,-0.001,0.013,0.206,0.752,0.976,9.085
2019-02-27,2792.38,2795.76,2775.13,2787.5,3771790000,-0.001,0.013,0.206,0.752,0.976,9.085
2019-02-28,2784.49,2793.73,2782.51,2788.11,4445780000,-0.003,0.013,0.206,0.752,0.976,9.085
2019-03-01,2803.69,2808.02,2787.38,2798.22,3994950000,0.007,0.013,0.206,0.752,0.976,9.085
2019-03-04,2792.81,2816.88,2767.66,2814.37,3949730000,-0.004,0.013,0.206,0.752,0.976,9.085
2019-03-05,2789.65,2796.44,2782.97,2794.41,3631380000,-0.001,0.013,0.206,0.752,0.976,9.085
2019-03-06,2771.45,2790.27,2768.69,2790.27,3800180000,-0.007,0.013,0.206,0.752,0.976,9.085
2019-03-07,2748.93,2767.25,2739.09,2766.53,3932150000,-0.008,0.013,0.206,0.752,0.976,9.085
2019-03-08,2743.07,2744.13,2722.27,2730.79,3424300000,-0.002,0.013,0.206,0.752,0.976,9.085
2019-03-11,2783.3,2784.0,2747.61,2747.61,3764850000,0.015,0.013,0.206,0.752,0.976,9.085
2019-03-12,2791.52,2798.32,2786.73,2787.34,3432340000,0.003,0.013,0.206,0.752,0.976,9.085
2019-03-13,2810.92,2821.24,2799.78,2799.78,3782250000,0.007,0.013,0.206,0.752,0.976,9.085
2019-03-14,2808.48,2815.0,2803.46,2810.38,3505670000,-0.001,0.013,0.206,0.752,0.976,9.085
2019-03-15,2822.48,2830.73,2810.79,2810.79,5969780000,0.005,0.013,0.206,0.752,0.976,9.085
2019-03-18,2832.94,2835.41,2821.99,2822.61,3620770000,0.004,0.013,0.206,0.752,0.976,9.085
