Date,Close,High,Low,Open,Volume
2019-01-01,3843.52,3850.91,3707.23,3746.71,4324200990
2019-01-02,3943.41,3947.98,3817.41,3849.22,5244856836
2019-01-03,3836.74,3935.69,3826.22,3931.05,4530215219
2019-01-04,3857.72,3865.93,3783.85,3832.04,4847965467
2019-01-05,3845.19,3904.9,3836.9,3851.97,5137609824
2019-01-06,4076.63,4093.3,3826.51,3836.52,5597027440
2019-01-07,4025.25,4092.61,4020.89,4078.58,5228625637
2019-01-08,4030.85,4109.02,3996.96,4028.47,5306593305
2019-01-09,4035.3,4068.4,4022.66,4031.55,5115905225
2019-01-10,3678.92,4064.07,3659.17,4034.41,6874143796
2019-01-11,3687.37,3713.88,3653.07,3674.02,5538712865
2019-01-12,3661.3,3698.98,3653.81,3686.97,4778170883
2019-01-13,3552.95,3674.76,3544.93,3658.87,4681302466
2019-01-14,3706.05,3727.84,3552.29,3557.31,5651384490
2019-01-15,3630.68,3720.15,3619.95,3704.22,5537192302
2019-01-16,3655.01,3685.78,3624.67,3631.51,5394457145
2019-01-17,3678.56,3680.14,3621.96,3651.87,5464420383
2019-01-18,3657.84,3682.52,3637.08,3677.99,5002961727
2019-01-19,3728.57,3758.53,3652.38,3652.38,5955691380
2019-01-20,3601.01,3743.39,3583.02,3725.45,5582489560
2019-01-21,3576.03,3608.84,3558.54,3600.37,5004347059
2019-01-22,3604.58,3620.75,3539.72,3575.08,5313623556
2019-01-23,3585.12,3623.07,3565.31,3605.56,5433755649
2019-01-24,3600.87,3616.09,3569.09,3584.5,5262869046
2019-01-25,3599.77,3612.93,3575.6,3607.39,5265847539
2019-01-26,3602.46,3654.93,3593.35,3599.72,5098183235
2019-01-27,3583.97,3612.67,3567.25,3604.69,5570752966
2019-01-28,3470.45,3586.75,3439.23,3584.28,6908930483
2019-01-29,3448.12,3476.07,3400.82,3468.87,5897159493
2019-01-30,3486.18,3495.17,3429.39,3443.9,5955112627
2019-01-31,3457.79,3504.8,3447.92,3485.41,5831198271
2019-02-01,3487.95,3501.95,3431.59,3460.55,5422926707
2019-02-02,3521.06,3523.29,3467.57,3484.63,5071623601
2019-02-03,3464.01,3521.39,3447.92,3516.14,5043937584
2019-02-04,3459.15,3476.22,3442.59,3467.21,5332718886
2019-02-05,3466.36,3478.15,3451.94,3454.95,5227549545
2019-02-06,3413.77,3469.09,3398.57,3469.09,5482196038
2019-02-07,3399.47,3427.95,3394.22,3414.93,5004962683
2019-02-08,3666.78,3695.61,3391.02,3401.38,7735623101
2019-02-09,3671.2,3679.94,3646.56,3671.59,6158833645
2019-02-10,3690.19,3695.04,3640.98,3673.2,6282256903
2019-02-11,3648.43,3695.61,3642.29,3695.61,6277056434
2019-02-12,3653.53,3668.59,3618.56,3642.75,6480384532
2019-02-13,3632.07,3669.75,3617.25,3653.6,6438903823
2019-02-14,3616.88,3646.26,3607.7,3631.17,6271044418
2019-02-15,3620.81,3647.8,3608.21,3617.37,6091952231
2019-02-16,3629.79,3652.84,3615.27,3615.27,5934744052
2019-02-17,3673.84,3680.54,3619.18,3633.36,7039512503
2019-02-18,3915.71,3936.67,3669.98,3671.37,9908216640
2019-02-19,3947.09,4010.88,3908.15,3911.66,9933626655
2019-02-20,3999.82,4000.49,3926.25,3946.69,8693373948
2019-02-21,3954.12,4010.01,3940.11,4000.26,7775128102
2019-02-22,4005.53,4006.54,3950.82,3952.41,7826525254
2019-02-23,4142.53,4166.29,3968.73,3998.92,8922258316
2019-02-24,3810.43,4210.64,3793.71,4145.46,10794227451
2019-02-25,3882.7,3913.71,3807.0,3807.0,9318796067
2019-02-26,3854.36,3891.58,3837.99,3878.7,7931218996
2019-02-27,3851.05,3888.8,3787.06,3857.48,8301309684
2019-02-28,3854.79,3906.06,3845.82,3848.26,8399767798
2019-03-01,3859.58,3907.8,3851.69,3853.76,7661247975
2019-03-02,3864.42,3874.61,3832.13,3855.32,7578786076
2019-03-03,3847.18,3875.48,3836.91,3862.27,7253558152
2019-03-04,3761.56,3867.38,3733.75,3845.09,9029175788
2019-03-05,3896.38,3903.92,3745.18,3759.83,10174126415
2019-03-06,3903.94,3919.51,3871.46,3897.08,9175291529
2019-03-07,3911.48,3939.37,3894.11,3903.38,9584165519
2019-03-08,3901.13,3950.43,3875.23,3913.23,10638638944
2019-03-09,3963.31,3987.24,3892.39,3894.55,10796103518
2019-03-10,3951.6,3966.17,3924.38,3966.17,9713267607
2019-03-11,3905.23,3966.38,3889.24,3953.74,10125901903
2019-03-12,3909.16,3926.89,3863.56,3903.76,9809887079
2019-03-13,3906.72,3926.6,3891.9,3913.05,9469184841
2019-03-14,3924.37,3946.5,3901.3,3905.58,10480789570
2019-03-15,3960.91,3968.54,3914.02,3926.66,9394210605
2019-03-16,4048.73,4077.04,3961.66,3963.9,9856166973
2019-03-17,4025.23,4054.12,4006.41,4047.72,8221625400
2019-03-18,4032.51,4071.56,4009.12,4029.97,9646954186
2019-03-19,4071.19,4082.22,4023.81,4032.69,9344919956
2019-03-20,4087.48,4089.46,4031.11,4070.79,10175916388
2019-03-21,4029.33,4097.36,4005.15,4083.95,10831212662
2019-03-22,4023.97,4053.91,4021.54,4028.51,9252935969
2019-03-23,4035.83,4049.88,4015.96,4022.71,9578850549
2019-03-24,4022.17,4040.7,4006.19,4035.16,9144851065
2019-03-25,3963.07,4038.84,3934.03,4024.11,10359818883
2019-03-26,3985.08,3985.08,3944.75,3969.23,10707678815
2019-03-27,4087.07,4087.07,3977.81,3984.24,10897131934
2019-03-28,4069.11,4094.9,4040.27,4087.58,9353915899
2019-03-29,4098.37,4113.5,4034.1,4068.3,10918665557
2019-03-30,4106.66,4296.81,4053.91,4092.14,9732688060
2019-03-31,4105.4,4113.02,4094.1,4105.46,9045122443
2019-04-01,4158.18,4164.95,4096.9,4105.36,10157794171
2019-04-02,4879.88,4905.95,4155.32,4156.92,21315047816
2019-04-03,4973.02,5307.0,4876.62,4879.96,22899891582
2019-04-04,4922.8,5063.16,4836.79,4971.31,18251810240
2019-04-05,5036.68,5053.51,4919.49,4922.81,16837325387
2019-04-06,5059.82,5205.82,4992.22,5036.79,16929795194
2019-04-07,5198.9,5235.19,5050.41,5062.79,16655416140
2019-04-08,5289.77,5318.84,5148.21,5199.84,17154113634
2019-04-09,5204.96,5289.92,5167.42,5289.92,14722104361
2019-04-10,5324.55,5421.65,5193.38,5204.11,15504590933
2019-04-11,5064.49,5354.23,5017.3,5325.08,16555616019
2019-04-12,5089.54,5103.27,4955.85,5061.2,13675206312
2019-04-13,5096.59,5127.12,5061.59,5088.85,10823289598
2019-04-14,5167.72,5184.02,5053.57,5095.76,10391952498
2019-04-15,5067.11,5196.61,5024.07,5167.32,12290155061
2019-04-16,5235.56,5238.95,5055.19,5066.58,11618660197
2019-04-17,5251.94,5274.28,5219.21,5236.14,12438480677
2019-04-18,5298.39,5319.99,5250.51,5251.48,13256489918
2019-04-19,5303.81,5336.68,5233.33,5298.15,13780238655
2019-04-20,5337.89,5358.49,5295.88,5304.16,13169647522
2019-04-21,5314.53,5359.92,5257.34,5335.88,13731844223
2019-04-22,5399.37,5422.69,5280.28,5312.49,14601631648
2019-04-23,5572.36,5633.8,5389.41,5399.37,15867308108
2019-04-24,5464.87,5642.04,5418.26,5571.51,17048033399
2019-04-25,5210.52,5542.24,5181.34,5466.52,15330283408
2019-04-26,5279.35,5383.63,5177.37,5210.3,16812108040
2019-04-27,5268.29,5310.75,5233.64,5279.47,13111274675
2019-04-28,5285.14,5326.23,5255.68,5271.75,12819992056
2019-04-29,5247.35,5311.27,5216.49,5284.86,13735490672
2019-04-30,5350.73,5363.26,5224.19,5247.73,13878964574
2019-05-01,5402.7,5418.0,5347.65,5350.91,13679528236
2019-05-02,5505.28,5522.26,5394.22,5402.42,14644460907
2019-05-03,5768.29,5865.88,5490.2,5505.55,18720780006
2019-05-04,5831.17,5886.89,5645.47,5769.2,17567780766
2019-05-05,5795.71,5833.86,5708.04,5831.07,14808830723
