,Open,High,Low,Close,Volume
2025-02-11 20:00:00,605.3100,605.3100,605.3100,605.3100,1283247
2025-02-11 19:00:00,605.2200,605.6600,605.1400,605.2800,33651
2025-02-11 18:00:00,604.9900,605.4700,604.6400,605.2300,1330817
2025-02-11 17:00:00,605.0200,605.3100,604.8000,604.9900,534894
2025-02-11 16:00:00,605.2100,605.3900,568.0264,605.0400,6744513
2025-02-11 15:00:00,605.4100,605.6500,604.6100,605.2100,7414801
2025-02-11 14:00:00,604.5450,605.8600,604.3900,605.4100,1493142
2025-02-11 13:00:00,603.7500,605.2900,603.5000,604.5900,1170792
2025-02-11 12:00:00,604.1800,604.4300,603.1000,603.7599,2092531
2025-02-11 11:00:00,604.7000,605.0500,604.0300,604.2100,1414476
2025-02-11 10:00:00,603.3100,605.2200,602.7000,604.7062,2256663
2025-02-11 09:00:00,601.9090,603.9850,600.7650,603.3300,1087577
2025-02-11 08:00:00,603.1980,604.8500,601.8900,601.9602,96582
2025-02-11 07:00:00,603.4700,603.5100,602.8500,603.1700,26783
2025-02-11 06:00:00,602.5900,603.3100,602.5900,603.3100,4005
2025-02-11 05:00:00,603.0500,603.2200,602.5700,602.5700,5697
2025-02-11 04:00:00,603.1600,603.7000,602.8400,602.9500,7733
2025-02-10 20:00:00,604.8500,604.8500,604.8500,604.8500,1159701
2025-02-10 19:00:00,603.6800,604.1200,603.4100,603.9700,36117
2025-02-10 18:00:00,604.6000,604.8500,603.1100,603.7300,1284011
2025-02-10 17:00:00,604.7000,605.0100,497.8300,604.5650,82204
2025-02-10 16:00:00,604.7700,604.8500,600.7517,604.7000,5121534
2025-02-10 15:00:00,604.9500,605.1900,604.2446,604.7900,5906864
2025-02-10 14:00:00,605.0500,605.4999,604.6300,604.9300,2520249
2025-02-10 13:00:00,604.5800,605.2400,604.5200,605.0520,1779172
2025-02-10 12:00:00,604.4100,604.6400,603.2108,604.5900,1847860
2025-02-10 11:00:00,604.8500,605.1300,603.8400,604.4250,2541147
2025-02-10 10:00:00,603.5100,605.3300,603.3300,604.8688,4386607
2025-02-10 09:00:00,604.4500,604.6200,597.7700,603.4900,3575535
2025-02-10 08:00:00,602.5830,604.5000,600.7700,604.4500,262038
2025-02-10 07:00:00,603.6600,603.7700,603.3400,603.7600,124191
2025-02-10 06:00:00,603.4500,603.7500,602.9300,603.6900,27902
2025-02-10 05:00:00,603.0200,603.5800,603.0100,603.4400,9966
2025-02-10 04:00:00,603.8500,603.8500,602.1600,603.0400,22520
2025-02-07 20:00:00,600.7700,600.7700,600.7700,600.7700,879575
2025-02-07 19:00:00,600.6000,600.6000,600.2100,600.2297,57899
2025-02-07 18:00:00,600.7000,601.1000,600.4600,600.6000,962495
2025-02-07 17:00:00,600.9000,666.7470,518.2400,600.7000,880614
2025-02-07 16:00:00,600.7900,606.4184,560.3514,600.9288,6489717
2025-02-07 15:00:00,601.1100,601.2600,600.0500,600.7800,9181708
2025-02-07 14:00:00,601.2260,601.6000,600.3400,601.1200,3705395
2025-02-07 13:00:00,602.1700,603.7500,601.1300,601.2350,2743100
2025-02-07 12:00:00,601.5700,604.6700,600.6400,602.1600,4572461
2025-02-07 11:00:00,603.4500,604.5395,601.2900,601.5988,10806572
2025-02-07 10:00:00,607.7700,607.8100,601.1800,603.4100,9620782
2025-02-07 09:00:00,606.7700,608.1300,599.2800,607.8103,3275817
2025-02-07 08:00:00,606.6300,607.2200,604.4000,606.7750,1041517
2025-02-07 07:00:00,606.6200,606.6700,606.2500,606.3400,54751
2025-02-07 06:00:00,606.2700,606.7300,606.0200,606.6600,18588
2025-02-07 05:00:00,606.2700,606.5000,606.1100,606.2400,5906
2025-02-07 04:00:00,605.6000,606.4700,605.6000,606.2700,12419
2025-02-06 20:00:00,606.3200,606.3200,606.3200,606.3200,1619493
2025-02-06 19:00:00,605.6100,605.9900,605.4100,605.9900,27530
2025-02-06 18:00:00,604.5500,606.3200,604.4500,605.6300,1683560
2025-02-06 17:00:00,605.1600,606.3200,604.5200,604.5500,225609
2025-02-06 16:00:00,606.3400,606.4700,599.9950,605.0800,11946787
2025-02-06 15:00:00,603.7200,606.4525,603.5300,606.3400,8886982
