Rendement Quotidien,Volatilité Quotidienne,Volatilité Annuelle,Sharpe Ratio,Sortino Ratio,Ulcer Index
,0.034,0.54,0.928,1.262,38.894
0.026,0.034,0.54,0.928,1.262,38.894
-0.027,0.034,0.54,0.928,1.262,38.894
0.005,0.034,0.54,0.928,1.262,38.894
-0.003,0.034,0.54,0.928,1.262,38.894
0.06,0.034,0.54,0.928,1.262,38.894
-0.013,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
-0.088,0.034,0.54,0.928,1.262,38.894
0.002,0.034,0.54,0.928,1.262,38.894
-0.007,0.034,0.54,0.928,1.262,38.894
-0.03,0.034,0.54,0.928,1.262,38.894
0.043,0.034,0.54,0.928,1.262,38.894
-0.02,0.034,0.54,0.928,1.262,38.894
0.007,0.034,0.54,0.928,1.262,38.894
0.006,0.034,0.54,0.928,1.262,38.894
-0.006,0.034,0.54,0.928,1.262,38.894
0.019,0.034,0.54,0.928,1.262,38.894
-0.034,0.034,0.54,0.928,1.262,38.894
-0.007,0.034,0.54,0.928,1.262,38.894
0.008,0.034,0.54,0.928,1.262,38.894
-0.005,0.034,0.54,0.928,1.262,38.894
0.004,0.034,0.54,0.928,1.262,38.894
-0.0,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
-0.005,0.034,0.54,0.928,1.262,38.894
-0.032,0.034,0.54,0.928,1.262,38.894
-0.006,0.034,0.54,0.928,1.262,38.894
0.011,0.034,0.54,0.928,1.262,38.894
-0.008,0.034,0.54,0.928,1.262,38.894
0.009,0.034,0.54,0.928,1.262,38.894
0.009,0.034,0.54,0.928,1.262,38.894
-0.016,0.034,0.54,0.928,1.262,38.894
-0.001,0.034,0.54,0.928,1.262,38.894
0.002,0.034,0.54,0.928,1.262,38.894
-0.015,0.034,0.54,0.928,1.262,38.894
-0.004,0.034,0.54,0.928,1.262,38.894
0.079,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
0.005,0.034,0.54,0.928,1.262,38.894
-0.011,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
-0.006,0.034,0.54,0.928,1.262,38.894
-0.004,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
0.002,0.034,0.54,0.928,1.262,38.894
0.012,0.034,0.54,0.928,1.262,38.894
0.066,0.034,0.54,0.928,1.262,38.894
0.008,0.034,0.54,0.928,1.262,38.894
0.013,0.034,0.54,0.928,1.262,38.894
-0.011,0.034,0.54,0.928,1.262,38.894
0.013,0.034,0.54,0.928,1.262,38.894
0.034,0.034,0.54,0.928,1.262,38.894
-0.08,0.034,0.54,0.928,1.262,38.894
0.019,0.034,0.54,0.928,1.262,38.894
-0.007,0.034,0.54,0.928,1.262,38.894
-0.001,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
-0.004,0.034,0.54,0.928,1.262,38.894
-0.022,0.034,0.54,0.928,1.262,38.894
0.036,0.034,0.54,0.928,1.262,38.894
0.002,0.034,0.54,0.928,1.262,38.894
0.002,0.034,0.54,0.928,1.262,38.894
-0.003,0.034,0.54,0.928,1.262,38.894
0.016,0.034,0.54,0.928,1.262,38.894
-0.003,0.034,0.54,0.928,1.262,38.894
-0.012,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
-0.001,0.034,0.54,0.928,1.262,38.894
0.005,0.034,0.54,0.928,1.262,38.894
0.009,0.034,0.54,0.928,1.262,38.894
0.022,0.034,0.54,0.928,1.262,38.894
-0.006,0.034,0.54,0.928,1.262,38.894
0.002,0.034,0.54,0.928,1.262,38.894
0.01,0.034,0.54,0.928,1.262,38.894
0.004,0.034,0.54,0.928,1.262,38.894
-0.014,0.034,0.54,0.928,1.262,38.894
-0.001,0.034,0.54,0.928,1.262,38.894
0.003,0.034,0.54,0.928,1.262,38.894
-0.003,0.034,0.54,0.928,1.262,38.894
-0.015,0.034,0.54,0.928,1.262,38.894
0.006,0.034,0.54,0.928,1.262,38.894
0.026,0.034,0.54,0.928,1.262,38.894
-0.004,0.034,0.54,0.928,1.262,38.894
0.007,0.034,0.54,0.928,1.262,38.894
0.002,0.034,0.54,0.928,1.262,38.894
-0.0,0.034,0.54,0.928,1.262,38.894
0.013,0.034,0.54,0.928,1.262,38.894
0.174,0.034,0.54,0.928,1.262,38.894
0.019,0.034,0.54,0.928,1.262,38.894
-0.01,0.034,0.54,0.928,1.262,38.894
0.023,0.034,0.54,0.928,1.262,38.894
0.005,0.034,0.54,0.928,1.262,38.894
0.027,0.034,0.54,0.928,1.262,38.894
0.017,0.034,0.54,0.928,1.262,38.894
-0.016,0.034,0.54,0.928,1.262,38.894
0.023,0.034,0.54,0.928,1.262,38.894
-0.049,0.034,0.54,0.928,1.262,38.894
0.005,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
0.014,0.034,0.54,0.928,1.262,38.894
-0.019,0.034,0.54,0.928,1.262,38.894
0.033,0.034,0.54,0.928,1.262,38.894
0.003,0.034,0.54,0.928,1.262,38.894
0.009,0.034,0.54,0.928,1.262,38.894
0.001,0.034,0.54,0.928,1.262,38.894
0.006,0.034,0.54,0.928,1.262,38.894
-0.004,0.034,0.54,0.928,1.262,38.894
0.016,0.034,0.54,0.928,1.262,38.894
0.032,0.034,0.54,0.928,1.262,38.894
-0.019,0.034,0.54,0.928,1.262,38.894
